date,1_year
2012-09-20,2.8271
2012-09-21,2.8401
2012-09-24,2.8401
2012-09-25,2.8485
2012-09-26,2.8318
2012-09-27,2.8121
2012-09-28,2.7921
2012-09-29,2.7921
2012-10-08,2.7845
2012-10-09,2.7844
2012-10-10,2.7644
2012-10-11,2.762
2012-10-12,2.7543
2012-10-15,2.7511
2012-10-16,2.7641
2012-10-17,2.8441
2012-10-18,2.8971
2012-10-19,2.922
2012-10-22,2.905
2012-10-23,2.9061
2012-10-24,2.9421
2012-10-25,2.9764
2012-10-26,2.9766
2012-10-29,2.9848
2012-10-30,2.9533
2012-10-31,2.9327
2012-11-01,2.9429
2012-11-02,2.9555
2012-11-05,2.9475
2012-11-06,2.9438
2012-11-07,2.9341
2012-11-08,2.9423
2012-11-09,2.9377
2012-11-12,2.9424
2012-11-13,2.9224
2012-11-14,2.9188
2012-11-15,2.9152
2012-11-16,2.8886
2012-11-19,2.8633
2012-11-20,2.8263
2012-11-21,2.8116
2012-11-22,2.8216
2012-11-23,2.8231
2012-11-26,2.8399
2012-11-27,2.8439
2012-11-28,2.8315
2012-11-29,2.8665
2012-11-30,2.8834
2012-12-03,2.8744
2012-12-04,2.8815
2012-12-05,2.9106
2012-12-06,2.8986
2012-12-07,2.8952
2012-12-10,2.8975
2012-12-11,2.8999
2012-12-12,2.9089
2012-12-13,2.9007
2012-12-14,2.8919
2012-12-17,2.8937
2012-12-18,2.9114
2012-12-19,2.9063
2012-12-20,2.9102
2012-12-21,2.9179
2012-12-24,2.9375
2012-12-25,2.9178
2012-12-26,2.9278
2012-12-27,2.9073
2012-12-28,2.8985
2012-12-31,2.905
2013-01-04,2.9189
2013-01-05,2.8768
2013-01-06,2.8688
2013-01-07,2.8689
2013-01-08,2.8498
2013-01-09,2.8341
2013-01-10,2.8547
2013-01-11,2.8648
2013-01-14,2.8361
2013-01-15,2.7995
2013-01-16,2.811
2013-01-17,2.8111
2013-01-18,2.7811
2013-01-21,2.8002
2013-01-22,2.7902
2013-01-23,2.8373
2013-01-24,2.8383
2013-01-25,2.834
2013-01-28,2.8495
2013-01-29,2.8226
2013-01-30,2.8091
2013-01-31,2.8047
2013-02-01,2.8064
2013-02-04,2.7824
2013-02-05,2.7709
2013-02-06,2.7869
2013-02-07,2.7883
2013-02-08,2.7658
2013-02-16,2.7161
2013-02-17,2.7117
2013-02-18,2.722
2013-02-19,2.7091
2013-02-20,2.6929
2013-02-21,2.7059
2013-02-22,2.7107
2013-02-25,2.7199
2013-02-26,2.7862
2013-02-27,2.7528
2013-02-28,2.7612
2013-03-01,2.7727
2013-03-04,2.7727
2013-03-05,2.7656
2013-03-06,2.7639
2013-03-07,2.7645
2013-03-08,2.7675
2013-03-11,2.7719
2013-03-12,2.7669
2013-03-13,2.7659
2013-03-14,2.7687
2013-03-15,2.7503
2013-03-18,2.7594
2013-03-19,2.7514
2013-03-20,2.7441
2013-03-21,2.7341
2013-03-22,2.7341
2013-03-25,2.7221
2013-03-26,2.7121
2013-03-27,2.6879
2013-03-28,2.6855
2013-03-29,2.679
2013-04-01,2.6799
2013-04-02,2.6716
2013-04-03,2.6741
2013-04-07,2.6702
2013-04-08,2.6432
2013-04-09,2.6421
2013-04-10,2.6504
2013-04-11,2.6575
2013-04-12,2.679
